S,D,SD,rho_avg_biased_mean,rho_avg_biased_std,rho_avg_biased_mcse,rho_irt_biased_mean,rho_irt_biased_std,rho_irt_biased_mcse,delta_rho_mean,rho_avg_mcar_mean,rho_avg_mcar_std,rho_avg_mcar_mcse,top_misrank_rate_biased,top_misrank_rate_mcar,n_seeds,n_irt_converged
0.25,5.0,1.25,0.9604,0.0205,0.0053,1.0,0.0,0.0,0.0396,0.9701,0.0171,0.0044,0.2,0.13,15,15
0.3,0.5,0.15,0.9976,0.0048,0.0013,1.0,0.0,0.0,0.0024,0.9968,0.0054,0.0014,0.0,0.07,15,15
0.3,1.0,0.3,0.9968,0.0054,0.0014,1.0,0.0,0.0,0.0032,0.9976,0.0048,0.0013,0.0,0.0,15,15
0.3,1.5,0.45,0.996,0.0057,0.0015,1.0,0.0,0.0,0.004,0.9968,0.007,0.0018,0.0,0.0,15,15
0.3,2.0,0.6,0.9992,0.003,0.0008,1.0,0.0,0.0,0.0008,0.9943,0.0075,0.0019,0.0,0.0,15,15
0.3,2.5,0.75,0.9895,0.0087,0.0022,1.0,0.0,0.0,0.0105,0.9911,0.0082,0.0021,0.0,0.07,15,15
0.3,3.0,0.9,0.9863,0.0124,0.0032,1.0,0.0,0.0,0.0137,0.9871,0.0094,0.0024,0.0,0.0,15,15
0.3,3.5,1.05,0.9764,0.0185,0.0048,1.0,0.0,0.0,0.0236,0.9784,0.014,0.0036,0.0,0.0,15,15
0.3,4.0,1.2,0.9618,0.0223,0.0058,1.0,0.0,0.0,0.0382,0.9758,0.0166,0.0043,0.13,0.07,15,15
0.3,4.5,1.35,0.9442,0.0453,0.0117,1.0,0.0,0.0,0.0558,0.9693,0.0192,0.005,0.07,0.2,15,15
0.3,5.0,1.5,0.9192,0.0558,0.0144,1.0,0.0,0.0,0.0808,0.9475,0.0237,0.0061,0.07,0.27,15,15
0.35,0.5,0.175,0.996,0.0057,0.0015,0.9984,0.0041,0.0011,0.0024,0.9976,0.0048,0.0013,0.0,0.0,15,15
0.35,1.0,0.35,0.996,0.0057,0.0015,1.0,0.0,0.0,0.004,0.9943,0.006,0.0016,0.0,0.0,15,15
0.35,1.5,0.525,0.9943,0.006,0.0016,1.0,0.0,0.0,0.0057,0.9935,0.006,0.0016,0.0,0.0,15,15
0.35,2.0,0.7,0.9935,0.0087,0.0022,1.0,0.0,0.0,0.0065,0.9952,0.0059,0.0015,0.0,0.0,15,15
0.35,2.5,0.875,0.9895,0.0124,0.0032,1.0,0.0,0.0,0.0105,0.9895,0.0087,0.0022,0.0,0.0,15,15
0.35,3.0,1.05,0.979,0.0278,0.0072,1.0,0.0,0.0,0.021,0.9855,0.0101,0.0026,0.0,0.13,15,15
0.35,3.5,1.225,0.9717,0.022,0.0057,1.0,0.0,0.0,0.0283,0.9717,0.0186,0.0048,0.07,0.13,15,15
0.35,4.0,1.4,0.9434,0.039,0.0101,1.0,0.0,0.0,0.0566,0.9459,0.0334,0.0086,0.13,0.27,15,15
0.35,4.5,1.575,0.8723,0.094,0.0243,1.0,0.0,0.0,0.1277,0.9539,0.0266,0.0069,0.2,0.27,15,15
0.35,5.0,1.75,0.8337,0.0564,0.0146,1.0,0.0,0.0,0.1663,0.9458,0.0406,0.0105,0.13,0.27,15,15
0.4,0.5,0.2,0.9968,0.0054,0.0014,1.0,0.0,0.0,0.0032,0.9935,0.006,0.0016,0.0,0.13,15,15
0.4,1.0,0.4,0.9992,0.003,0.0008,1.0,0.0,0.0,0.0008,0.9968,0.0054,0.0014,0.0,0.0,15,15
0.4,1.5,0.6,0.9935,0.006,0.0016,1.0,0.0,0.0,0.0065,0.9887,0.0129,0.0033,0.0,0.0,15,15
0.4,2.0,0.8,0.9855,0.0167,0.0043,1.0,0.0,0.0,0.0145,0.9925,0.0072,0.0019,0.0,0.0,15,15
